0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:50:29 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:50:29 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:50:30 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:50:30 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:50:32 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:50:32 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:50:32 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:50:33 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:50:35 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:50:35 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:50:35 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:50:35 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:50:54 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:50:54 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:51:02 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:51:02 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:51:05 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:51:05 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 304 -
